Deoleo,0.3474,0.45,366444.0,18/09/2021
ArcelorMittal,28.1,-4.29,885234.0,18/09/2021
America Movil,0.8,0.0,1050.0,18/09/2021
COPEL PNB,1.14,-1.8,1500.0,18/09/2021
PETROBRAS ON,4.24,-1.41,2153.0,18/09/2021
USIMINAS PNA,2.42,-13.18,100.0,18/09/2021
VALE ON,14.528,-4.64,7034.0,18/09/2021
Grupo Elektra,68.0,0.0,744.0,18/09/2021
TV Azteca Cpo,0.0355,0.0,25478.0,18/09/2021
BRADESCO PN EJ N1,3.36,-5.2,1060.0,18/09/2021
GERDAU PN N1,4.38,-9.78,80.0,18/09/2021
ADL Bionatur,0.62,10.0,684198.0,18/09/2021
Catenon S.A.,1.0,2.0,30975.0,18/09/2021
eDreams Odigeo SA,6.17,4.3,207749.0,18/09/2021
Lar Espana Real Estate SOCIMI SA,5.21,0.76,129391.0,18/09/2021
Applus Services SA,8.14,0.25,514464.0,18/09/2021
Merlin Properties SA,9.17,-1.68,6259392.0,18/09/2021
Facephi Biometria SA,4.5,-2.4,34704.0,18/09/2021
Logista,18.38,0.11,186458.0,18/09/2021
Aena,130.85,3.43,697990.0,18/09/2021
NBI Bearings Europe,6.2,0.0,2100.0,18/09/2021
Naturhouse Health SA,1.64,-0.3,10000.0,18/09/2021
Cellnex Telecom,57.54,1.5,1989530.0,18/09/2021
Talgo,4.44,2.47,183114.0,18/09/2021
Grenergy Renovables SA,31.95,1.56,87340.0,18/09/2021
Lleidanetworks Serveis Telematics,5.16,-0.6,5677.0,18/09/2021
Pharma Mar,78.9,-0.41,83788.0,18/09/2021
Gigas Hosting SA,10.9,2.31,9372.0,18/09/2021
Agile Content SA,7.24,1.36,1929.0,18/09/2021
Zambal Spain Socimi SA,1.2,0.84,1200.0,18/09/2021
Oryzon Genomics,3.345,0.6,86892.0,18/09/2021
Clerhp Estructuras,1.43,-1.4,1200.0,18/09/2021
Global Dominion,4.28,3.17,153438.0,18/09/2021
Coca-Cola European,49.82,0.0,50.0,18/09/2021
Vitruvio Real Estate,11.5,1.77,1280.0,18/09/2021
Atrys Health,10.95,1.89,17393.0,18/09/2021
Clever Global,0.286,9.49,18313.0,18/09/2021
Mondo TV,0.145,-3.33,14462.0,18/09/2021
Pangaea Oncology,1.69,-2.92,1650.0,18/09/2021
Prosegur Cash,0.761,-1.03,788313.0,18/09/2021
Neinor Homes,12.24,-1.97,132272.0,18/09/2021
Gestamp Automocion,3.47,-2.48,958567.0,18/09/2021
Asturiana de Laminados,1.9,-1.31,29542.0,18/09/2021
Unicaja Banco,0.817,3.99,5722185.0,18/09/2021
Borges Agricultural,2.68,0.0,500.0,18/09/2021
Aedas Homes,27.7,0.72,96105.0,18/09/2021
Netex Knowledge,4.04,0.0,10.0,18/09/2021
Greenalia,13.95,2.56,1586.0,18/09/2021
Tier1,23.4,0.0,3076.0,18/09/2021
Castellana Properties,6.25,0.81,200.0,18/09/2021
Berkeley Energy,0.2036,0.1,733311.0,18/09/2021
Alquiber Quality,5.0,0.0,6000.0,18/09/2021
Arima Real Estate,9.22,-2.95,576.0,18/09/2021
Amrest,6.7,0.0,2095.0,18/09/2021
Atom Hoteles,9.7,0.52,200.0,18/09/2021
Solarpack,26.2,-0.76,335530.0,18/09/2021
Almagro Capital,1.25,0.0,36200.0,18/09/2021
Proeduca Altus,17.0,-1.17,2100.0,18/09/2021
Iffe Futura,0.695,-0.68,6600.0,18/09/2021
